state_name,type,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Andaman and Nicobar,Emissions,428142.61,484855.21,387933.21,451618.97,506495.38,528225.44,563570.72,670591.73,724605.02,745623.42
Andaman and Nicobar,Removals,-7211025.4,-7211025.4,-7211030.220000000,-7211030.220000000,-7211030.220000000,-7211032.03,-1252199.5,-1252199.5,281075.83,281075.83
Andhra Pradesh,Emissions,112142594.76,121559042.39,130034586.24,132710167.94,143854951.62,153231733.58000000,160350558.13,162359030.62,141520497.28,132270604.25
Andhra Pradesh,Removals,-15800787.5,-15800787.5,-15771405.03,-15771405.03,-15771405.03,-15868060.3,-29042427.42,-29042427.42,-37460793.42,-37460793.42
Arunachal Pradesh,Emissions,559406.1700000000,591102.63,446300.0,499867.7,530585.76,583617.62,602025.36,659414.09,716816.15,758465.59
Arunachal Pradesh,Removals,-21701281.76,-21701281.76,-21825884.95,-21825884.95,-21825884.95,-21692813.54,4510663.87,4510663.87,5136881.03,5136881.03
Assam,Emissions,9723888.85,9671746.64,10425250.9,11431305.78,10862060.01,10867157.88,11289699.39,11777946.56,12962307.02,13438401.14
Assam,Removals,-3673042.39,-3673042.39,-3685674.56,-3685674.56,-3685674.56,-3705298.33,203166.41,203166.41,-7872850.26,-7872850.26
Bihar,Emissions,17427629.93,18080206.36,21588741.65,26223318.0,30036834.58,31465083.98,32199993.89,33854479.43,37233386.1,41031943.24
Bihar,Removals,708430.02,708430.02,586926.94,586926.94,586926.94,631592.98,108025.19,108025.19,-1033155.14,-1033155.14
Chandigarh,Emissions,622674.48,640138.93,658739.14,702916.61,724564.44,729745.61,700987.6800000000,690608.14,726863.16,823403.9400000000
Chandigarh,Removals,-2034.12,-2034.12,-2034.86,-2034.86,-2034.86,-2034.12,-75546.71000000000,-75546.71000000000,955.54,955.54
Chhattisgarh,Emissions,71934967.14,94423531.12,108788443.24,126990563.56,127870434.18,132382719.78,144060811.1,149296373.17,155345189.13,156315461.86
Chhattisgarh,Removals,-4898293.3,-4898293.3,-4843636.53,-4843636.53,-4843636.53,-5079285.8,708703.1100000000,708703.1100000000,-217038.56,-217038.56
Dadra and Nagar Haveli and Daman and Diu,Emissions,917672.3800000000,1217512.18,1160322.76,890685.49,1182139.6,1174932.01,1122075.12,1370140.08,1684734.5700000000,1894786.88
Dadra and Nagar Haveli and Daman and Diu,Removals,49470.68,49470.68,49620.020000000000,49620.020000000000,49620.020000000000,49401.75,-355.5,-355.5,-22394.0,-22394.0
NCT of Delhi,Emissions,22185871.97,23175569.16,23032161.06,21879820.28,21390692.11,22809770.01,23478636.74,21971417.54,21271731.15,20363580.66
NCT of Delhi,Removals,-42511.59,-42511.59,-41984.08,-41984.08,-41984.08,-42270.99,-88037.23,-88037.23,-39885.03,-39885.03
Goa,Emissions,2701612.45,3167071.21,3429850.93,4273470.1,3347624.99,3163865.22,3228044.94,3362834.65,3648123.9,3142813.27
Goa,Removals,-1193988.73,-1193988.73,-1193947.66,-1193947.66,-1193947.66,-1191971.51,108934.32,108934.32,-328990.35,-328990.35
Gujarat,Emissions,103716002.8,113645740.98,122689027.52,137136636.9,142792138.25,156993441.05,174095635.06,181432676.65,204292759.78,197887331.81
Gujarat,Removals,1101733.36,1101733.36,1259834.74,1259834.74,1259834.74,1195390.67,-1025327.31,-1025327.31,-887808.98,-887808.98
Haryana,Emissions,29955206.99,33057915.46,36178522.81,41847338.53,44250773.26,48852410.55,55098531.73,55528140.3,58392117.52,54667732.18000000
Haryana,Removals,179248.58000000000,179248.58000000000,189665.38,189665.38,189665.38,179184.66,46115.56,46115.56,-154520.77,-154520.77
Himachal Pradesh,Emissions,5510825.16,6075043.42,6082057.41,6398208.11,8482976.69,8634858.12,9281977.76,9291192.96,9275312.99,10107863.16
Himachal Pradesh,Removals,-3496198.0700000000,-3496198.0700000000,-3533202.14,-3533202.14,-3533202.14,-3448629.0500000000,-630652.72,-630652.72,-8505789.22,-8505789.22
Jammu and Kashmir,Emissions,3944575.78,4129045.17,4067549.94,4259882.3,4463029.96,4826799.92,5109131.64,5254520.35,5350147.79,5502461.13
Jammu and Kashmir,Removals,-5339802.78,-5339802.78,-5412308.18,-5412308.18,-5412308.18,-5335637.69,-10007852.07,-10007852.07,-5720081.4,-5720081.4
Jharkhand,Emissions,48926790.87,53670836.220000000,47973205.21,60364664.57,63986531.34,68525311.07,77307678.32,78415654.88,68662159.48,70803375.92
