district,state,lat,lon,forest_loss_sq_km
Kamrup Metropolitan,Assam,26.6352,91.3724,1.03
Kamrup Metropolitan,Assam,26.2533,91.7084,0.71
Kamrup Metropolitan,Assam,26.2159,91.7926,0.81
Kamrup Metropolitan,Assam,26.4422,91.6507,1.1
Kamrup Metropolitan,Assam,26.1778,91.7176,1.06
Kamrup Metropolitan,Assam,26.1692,91.7229,0.87
Kamrup Metropolitan,Assam,26.3213,91.6177,0.71
Kamrup Metropolitan,Assam,26.2312,91.7086,0.44
Kamrup Metropolitan,Assam,26.1314,91.7501,0.54
Kamrup Metropolitan,Assam,26.4585,91.5466,0.74
Kamrup Metropolitan,Assam,26.1622,91.7357,0.89
Kamrup Metropolitan,Assam,26.1433,91.9864,0.72
Kamrup Metropolitan,Assam,26.2118,91.6878,0.57
Kamrup Metropolitan,Assam,26.1819,91.7482,0.57
Kamrup Metropolitan,Assam,26.1308,91.8118,0.55
Kamrup Metropolitan,Assam,26.0481,91.7214,0.9
Kamrup Metropolitan,Assam,26.2036,91.6636,0.99
Kamrup Metropolitan,Assam,26.307,91.7765,0.96
Kamrup Metropolitan,Assam,26.142,91.7019,0.76
Kamrup Metropolitan,Assam,26.1861,91.7068,0.99
Kamrup Metropolitan,Assam,26.1571,91.7309,1.01
Kamrup Metropolitan,Assam,25.9788,91.9107,0.82
Kamrup Metropolitan,Assam,26.1836,91.7831,0.83
Kamrup Metropolitan,Assam,26.1743,91.7618,1.01
Kamrup Metropolitan,Assam,26.1038,91.7314,0.55
Kamrup Metropolitan,Assam,26.2561,91.716,0.82
Kamrup Metropolitan,Assam,26.1006,91.8047,0.93
Kamrup Metropolitan,Assam,26.153,91.7353,0.46
Kamrup Metropolitan,Assam,25.7958,91.6477,0.52
Kamrup Metropolitan,Assam,26.0614,91.7881,0.92
Kamrup Metropolitan,Assam,26.133,91.7202,1.01
Kamrup Metropolitan,Assam,26.2574,91.7855,0.91
Kamrup Metropolitan,Assam,26.1337,91.7312,0.78
Kamrup Metropolitan,Assam,26.1488,91.7804,1.09
Kamrup Metropolitan,Assam,26.4186,91.7867,0.78
Kamrup Metropolitan,Assam,26.1384,91.7152,0.75
Kamrup Metropolitan,Assam,26.2477,91.8301,0.99
Kamrup Metropolitan,Assam,26.2012,91.7435,0.62
Kamrup Metropolitan,Assam,26.16,91.6814,0.7
Kamrup Metropolitan,Assam,26.1503,91.9197,0.52
Kamrup Metropolitan,Assam,26.1673,91.6279,0.38
