lat,lon,forest_loss_sq_km,region
26.8957,92.9712,23.36,northeast
28.4195,89.1881,44.84,northeast
26.7543,93.5691,27.5,northeast
23.685,89.2558,19.85,northeast
25.6813,96.1829,42.85,northeast
23.7306,91.852,29.6,northeast
28.6196,95.4854,42.63,northeast
25.4777,93.841,56.41,northeast
28.1691,93.7372,102.7,northeast
23.9257,95.8929,67.73,northeast
26.2953,93.9839,10.0,northeast
23.0862,90.4594,120.0,northeast
24.7217,89.4821,34.09,northeast
23.9678,92.0429,120.0,northeast
26.4867,94.2465,10.0,northeast
28.1633,90.0922,61.04,northeast
26.8337,94.3472,53.32,northeast
24.167,91.4183,54.76,northeast
27.0363,91.5725,26.97,northeast
25.5026,93.3345,67.75,northeast
27.7778,96.5528,28.39,northeast
23.3518,90.2274,22.45,northeast
26.4627,92.5695,120.0,northeast
27.7013,91.7194,37.26,northeast
23.2708,93.2711,44.13,northeast
23.2753,93.9754,61.76,northeast
25.6025,95.8356,44.2,northeast
28.8694,89.6738,33.11,northeast
23.5367,91.6897,43.06,northeast
23.6441,90.8869,48.16,northeast
26.0105,93.9454,99.57,northeast
26.882,89.531,100.93,northeast
28.7674,96.713,116.51,northeast
27.0879,90.3967,66.59,northeast
25.5049,94.512,82.16,northeast
28.9726,91.152,87.1,northeast
25.6013,96.9086,51.24,northeast
27.562,89.3682,66.35,northeast
28.4173,89.4347,100.38,northeast
28.2069,96.7421,14.42,northeast
28.8559,93.3443,64.85,northeast
24.264,91.0703,120.0,northeast
28.2248,90.6097,48.23,northeast
26.4201,91.5743,120.0,northeast
26.1335,94.7942,86.59,northeast
27.7675,93.1296,35.07,northeast
27.1058,92.1519,14.5,northeast
26.7792,89.4237,62.75,northeast
23.2192,95.4857,88.97,northeast
24.2254,91.5577,12.01,northeast
25.9286,94.458,45.02,northeast
26.1194,92.6477,78.84,northeast
26.8509,92.9626,14.82,northeast
27.8993,89.7934,52.56,northeast
28.4798,91.6482,45.33,northeast
26.4325,92.8038,99.19,northeast
24.2164,91.6741,86.95,northeast
28.1782,89.0152,120.0,northeast
28.622,93.9614,68.8,northeast
26.5647,89.805,51.2,northeast
23.2144,89.5191,68.89,northeast
26.63,95.5626,10.0,northeast
23.6015,94.9421,35.22,northeast
