source,target,weight
1,25,1
1,28,1
1,31,1
1,94,1
1,191,1
1,277,1
1,280,1
1,351,1
1,381,1
1,461,1
1,616,1
1,741,1
1,831,1
1,901,1
1,921,1
2,90,1
2,180,1
2,264,1
2,300,1
2,306,1
2,396,1
2,450,1
2,462,1
2,470,1
2,474,1
2,528,1
2,615,1
2,654,1
2,660,1
2,690,1
2,834,1
2,885,1
2,924,1
2,930,1
2,963,1
3,49,1
3,59,1
3,71,1
3,79,1
3,125,1
3,149,1
3,158,1
3,289,1
3,309,1
3,338,1
3,362,1
3,409,1
3,422,1
3,429,1
3,464,1
3,479,1
3,482,1
3,515,1
3,599,1
3,619,1
3,635,1
3,669,1
3,674,1
3,679,1
3,806,1
3,849,1
3,857,1
3,889,1
3,899,1
3,919,1
3,986,1
4,34,1
4,158,1
4,178,1
4,265,1
4,268,1
4,271,1
4,283,1
4,338,1
4,352,1
4,370,1
4,391,1
4,400,1
4,406,1
4,409,1
4,421,1
4,478,1
4,484,1
4,496,1
4,538,1
4,541,1
4,553,1
4,679,1
4,728,1
4,754,1
4,805,1
4,811,1
4,889,1
4,895,1
4,904,1
5,6,1
5,7,1
5,87,1
5,126,1
5,227,1
5,297,1
5,317,1
5,327,1
5,375,1
5,377,1
5,387,1
5,397,1
5,457,1
5,489,1
5,547,1
5,603,1
5,617,1
5,627,1
5,657,1
5,663,1
5,697,1
5,757,1
5,888,1
5,937,1
5,981,1
6,76,1
6,128,1
6,134,1
6,136,1
6,173,1
6,209,1
6,226,1
6,266,1
6,284,1
6,344,1
6,366,1
6,398,1
6,509,1
6,566,1
6,614,1
6,676,1
6,752,1
6,766,1
6,872,1
6,953,1
6,976,1
6,992,1
7,25,1
7,35,1
7,40,1
7,73,1
7,76,1
7,85,1
7,145,1
7,195,1
7,226,1
7,375,1
7,403,1
7,457,1
7,469,1
7,547,1
7,592,1
7,695,1
7,697,1
7,799,1
7,901,1
7,985,1
8,12,1
8,54,1
8,117,1
8,120,1
8,135,1
8,174,1
8,201,1
8,224,1
8,234,1
8,254,1
8,267,1
8,303,1
8,304,1
8,312,1
8,342,1
8,369,1
8,384,1
8,393,1
8,411,1
8,414,1
8,420,1
8,432,1
8,438,1
8,456,1
8,465,1
8,504,1
8,507,1
8,546,1
8,558,1
8,564,1
8,609,1
8,624,1
8,633,1
8,639,1
8,651,1
8,684,1
8,687,1
8,702,1
8,708,1
8,711,1
8,717,1
8,744,1
8,750,1
8,756,1
8,828,1
8,852,1
8,861,1
8,939,1
8,960,1
8,994,1
9,173,1
9,179,1
9,191,1
9,218,1
9,233,1
9,253,1
9,266,1
9,293,1
9,333,1
9,353,1
9,383,1
9,423,1
9,513,1
9,539,1
9,563,1
9,603,1
9,617,1
9,644,1
9,663,1
9,673,1
9,763,1
9,788,1
9,803,1
9,818,1
9,830,1
9,843,1
9,853,1
9,854,1
9,863,1
9,913,1
9,933,1
9,953,1
9,962,1
9,968,1
10,22,1
10,52,1
10,62,1
10,92,1
10,127,1
10,130,1
10,163,1
10,192,1
10,212,1
10,229,1
10,252,1
10,313,1
10,322,1
10,328,1
10,332,1
10,346,1
10,463,1
10,472,1
10,529,1
10,535,1
10,574,1
10,580,1
10,583,1
10,612,1
10,652,1
10,664,1
10,691,1
10,822,1
10,892,1
10,922,1
10,925,1
10,982,1
11,42,1
11,54,1
11,63,1
11,69,1
11,91,1
11,129,1
11,150,1
11,151,1
11,168,1
11,174,1
11,186,1
11,201,1
11,213,1
11,221,1
11,228,1
11,241,1
11,276,1
11,282,1
11,361,1
11,402,1
11,411,1
11,426,1
11,491,1
11,501,1
11,549,1
11,564,1
11,571,1
11,611,1
11,631,1
11,636,1
11,642,1
11,651,1
11,693,1
11,711,1
11,731,1
11,747,1
11,780,1
11,795,1
11,801,1
11,816,1
11,821,1
11,851,1
11,861,1
11,882,1
11,915,1
11,936,1
11,951,1
11,972,1
11,978,1
12,26,1
12,83,1
12,143,1
12,150,1
12,170,1
12,206,1
12,215,1
12,239,1
12,250,1
12,260,1
12,275,1
12,290,1
12,320,1
12,326,1
12,347,1
12,350,1
12,359,1
12,374,1
12,380,1
12,389,1
12,413,1
12,416,1
12,449,1
12,452,1
12,460,1
12,491,1
12,500,1
12,518,1
12,542,1
12,554,1
12,590,1
12,611,1
12,668,1
12,677,1
12,680,1
12,692,1
12,700,1
12,704,1
12,731,1
12,740,1
12,779,1
12,780,1
12,800,1
12,820,1
12,836,1
12,845,1
12,850,1
12,851,1
12,880,1
12,914,1
12,920,1
12,944,1
12,950,1
12,998,1
13,19,1
13,29,1
13,88,1
13,119,1
13,169,1
13,175,1
13,190,1
13,208,1
13,232,1
13,339,1
13,388,1
13,493,1
13,667,1
13,682,1
13,759,1
13,808,1
13,809,1
13,859,1
13,868,1
13,879,1
14,84,1
14,102,1
14,153,1
14,158,1
14,178,1
14,183,1
14,231,1
14,243,1
14,268,1
14,270,1
14,309,1
14,338,1
14,372,1
14,408,1
14,429,1
14,441,1
14,447,1
14,478,1
14,525,1
14,538,1
14,567,1
14,597,1
14,630,1
14,669,1
14,672,1
14,728,1
14,738,1
14,765,1
