paper_id,title,topic,citations,year,cluster,arxiv_id,pca_x,pca_y
1,Minimization of image watermarking side effects through subjective optimization,Image-Images,2500,2015,10,1501.01755v1,-0.12450941416946656,0.0021966687282583166
2,Upper and Lower Bounds for Competitive Online Routing on Delaunay Triangulations,Problem-Algorithm,2510,2015,18,1501.01783v1,-0.39666130210300116,-0.09062107650781515
3,"Design and Implementation of rowe, a Web-Friendly Communication Library",Communication-Networks,2520,2015,17,1501.02162v1,-0.04753013767170708,-0.13357431699601202
4,Range Queries on Uncertain Data,Data-Model,2530,2015,8,1501.02309v1,-0.14085370383733348,-0.04341897722198989
5,The Cost of Problem-Based Learning: An Example in Information Systems Engineering,Learning-Deep,2540,2015,12,1501.01468v1,-0.16279963086844657,0.058561280241176926
6,Improving image watermarking based on Tabu search by Chaos,Image-Images,2550,2015,10,1501.01576v3,-0.11656571118898906,-0.0020400237336521553
7,XQOWL: An Extension of XQuery for OWL Querying and Reasoning,Data-Model,2560,2015,8,1501.02033v1,0.2502422904410023,-0.10581645567927185
8,Low Cost Semi-Autonomous Agricultural Robots In Pakistan-Vision Based Navigation Scalable methodology for wheat harvesting,Systems-Information,2570,2015,3,1501.02378v1,-0.0494115759424608,-0.087909487923488
9,Matching Theory for Backhaul Management in Small Cell Networks with mmWave Capabilities,Problem-Algorithm,2580,2015,18,1501.02410v1,-0.1904076332953341,0.09118317114464071
10,Providing Long-Term Participation Incentive in Participatory Sensing,User-Users,2590,2015,13,1501.02480v2,-0.196301393882261,-0.10844649376239883
11,Beam-searching and Transmission Scheduling in Millimeter Wave Communications,Problem-Algorithm,2600,2015,18,1501.02516v1,-0.30463417703032536,0.06558978117546015
12,Arabic Text Categorization Algorithm using Vector Evaluation Method,Text-Datasets,2610,2015,5,1501.01318v1,-0.06113639174728443,-0.057631969490017726
13,Generalized Eilenberg Theorem I: Local Varieties of Languages,Systems-Information,2620,2015,3,1501.02834v1,-0.05117964401459848,-0.1218220840070312
14,The ModelCC Model-Based Parser Generator,Data-Model,2630,2015,8,1501.03458v1,0.23274651798312745,-0.19992885174235026
15,Stochastic Gradient Based Extreme Learning Machines For Online Learning of Advanced Combustion Engines,Learning-Deep,2640,2015,12,1501.03975v1,-0.17353396534438845,0.20193980645781126
16,Visual Analytics of Image-Centric Cohort Studies in Epidemiology,Visual-Video,2650,2015,16,1501.04009v1,0.08432876674426484,-0.028176962173572944
17,PriCL: Creating a Precedent A Framework for Reasoning about Privacy Case Law,Systems-Information,2660,2015,3,1501.03353v1,-0.0327683204400334,-0.1466366856145268
18,Closing the Gap -- Formally Verifying Dynamically Typed Programs like Statically Typed Ones Using Hoare Logic -- Extended Version --,Systems-Information,2670,2015,3,1501.02699v1,-0.1539273056885576,-0.12487275443365732
19,LTE enhancements for Public Safety and Security communications to support Group Multimedia Communications,Communication-Networks,2680,2015,17,1501.03613v1,-0.15753009371778015,0.06326931721417314
20,A Polynomial-Time Attack on the BBCRS Scheme,Systems-Information,2690,2015,3,1501.03736v1,-0.15803031134799375,-0.10738339036637859
21,A Modified No Search Algorithm for Fractal Image Compression,Image-Images,2700,2015,10,1501.02894v2,-0.19550262502741866,0.019344039091718945
22,Sparse Deep Stacking Network for Image Classification,Image-Images,2710,2015,10,1501.00777v1,-0.011915279117706665,0.2477975429561467
23,Computational Feasibility of Clustering under Clusterability Assumptions,Systems-Information,2720,2015,3,1501.00437v1,-0.03047920834143897,-0.10245894479216347
24,A Review on the Tree Edit Distance Problem and Related Path-Decomposition Algorithms,Problem-Algorithm,2730,2015,18,1501.00611v6,-0.2437258566985337,-0.11081857425279099
25,Hierarchical Cooperation for Operator-Controlled Device-to-Device Communications: A Layered Coalitional Game Approach,Networks-Neural,2740,2015,0,1501.00620v1,-0.10515656269457627,0.10657005491886357
26,QANUS: An Open-source Question-Answering Platform,Systems-Information,2750,2015,3,1501.00311v1,-0.030760017336240127,-0.15816896696203772
27,Contact Representations of Sparse Planar Graphs,Graph-Graphs,2760,2015,2,1501.00318v1,-0.30655411883781425,-0.1041615275402023
28,Multi-Access Communications with Energy Harvesting: A Multi-Armed Bandit Model and the Optimality of the Myopic Policy,Problem-Algorithm,2770,2015,18,1501.00329v1,-0.1512629760895665,0.023719867050038642
29,Efficient 2-Step Protocol and Its Discriminative Feature Selections in Secure Similar Document Detection,Detection-Based,2780,2015,1,1501.00354v1,-0.09160022847972671,0.026689501229740235
30,Hostile Intent Identification by Movement Pattern Analysis: Using Artificial Neural Networks,Learning-Deep,2790,2015,12,1501.00653v1,-0.14718386724274726,0.11800896460631681
31,Spatial Spectrum and Energy Efficiency of Random Cellular Networks,Networks-Neural,2800,2015,0,1501.05368v1,-0.06676660156123634,0.13776177619857213
32,Robust Face Recognition by Constrained Part-based Alignment,Problem-Algorithm,2810,2015,18,1501.04717v1,-0.12384135313120599,-0.03930776972303603
33,Relative Entailment Among Probabilistic Implications,Systems-Information,2820,2015,3,1501.04826v5,-0.11170429320543411,-0.13050719737763836
34,AAPPeC: Agent-based Architecture for Privacy Payoff in eCommerce,User-Users,2830,2015,13,1501.04850v1,-0.045326999752891305,-0.12552703532256776
35,Clustering based on the In-tree Graph Structure and Affinity Propagation,Graph-Graphs,2840,2015,2,1501.04318v2,-0.11839710395831837,-0.007404244589969504
36,Deep Belief Nets for Topic Modeling,User-Users,2850,2015,13,1501.04325v1,-0.003975630689374798,0.01956197222345671
37,Transferring Rich Feature Hierarchies for Robust Visual Tracking,Visual-Video,2860,2015,16,1501.04587v2,0.14686317362971615,0.06583827616512472
38,Optimal Fractional Repetition Codes and Fractional Repetition Batch Codes,Graph-Graphs,2870,2015,2,1501.05177v1,-0.18386408893091943,-0.12552404847132495
39,A Direct Symbolic Execution of SQL Code for Testing of Data-Oriented Applications,Systems-Information,2880,2015,3,1501.05265v1,-0.042248269003904444,-0.08894507762849961
40,Managing large-scale scientific hypotheses as uncertain and probabilistic data,Data-Model,2890,2015,8,1501.05290v2,0.1351232108846953,-0.1440899383162774
41,Distributed Estimation of Generalized Matrix Rank: Efficient Algorithms and Lower Bounds,Problem-Algorithm,2900,2015,18,1502.01403v2,-0.43236362032365394,-0.09521186777788107
42,Censoring for Improved Sensing Performance in Infrastructure-less Cognitive Radio Networks,Networks-Neural,2910,2015,0,1502.01986v1,-0.11613136547721621,0.15054117234829612
43,The Hardness of Approximation of Euclidean k-means,Graph-Graphs,2920,2015,2,1502.03316v1,-0.48798479470552575,-0.12601900049573483
44,Large-Scale Deep Learning on the YFCC100M Dataset,Networks-Neural,2930,2015,0,1502.03409v1,0.0939888600684555,0.3698634912280946
45,"Dear CAV, We Need to Talk About Reproducibility",Systems-Information,2940,2015,3,1502.02448v1,-0.057087943097933656,-0.1546456060060097
46,Deep Learning with Limited Numerical Precision,Networks-Neural,2950,2015,0,1502.02551v1,0.07314985136178007,0.33524371871210046
47,Analysis of classifiers' robustness to adversarial perturbations,Adversarial-Attacks,2960,2015,14,1502.02590v4,-0.03995483231087816,0.122803879363745
48,An Integrated Semantic Web Service Discovery and Composition Framework,Graph-Graphs,2970,2015,2,1502.02840v1,-0.2507130196053833,-0.0743476005648253
49,Out-of-sample generalizations for supervised manifold learning for classification,Learning-Deep,2980,2015,12,1502.02410v1,-0.02914515804872632,0.19601873643366488
50,An Incentivized Approach for Fair Participation in Wireless Ad hoc Networks,Networks-Neural,2990,2015,0,1503.01314v1,-0.08833227392650086,0.1475943632387293
51,A review of mean-shift algorithms for clustering,Text-Datasets,3000,2015,5,1503.00687v1,-0.14372731873933023,-0.07519592178707668
52,Assessing a human mediated current awareness service,Systems-Information,3000,2015,3,1503.01082v2,-0.08363641859046014,-0.0868799353216552
53,All Who Wander: On the Prevalence and Characteristics of Multi-community Engagement,User-Users,3000,2015,13,1503.01180v2,-0.011879944747382905,-0.17476558183872243
54,On the Number of Minimal Separators in Graphs,Graph-Graphs,3000,2015,2,1503.01203v2,-0.29040763575100725,-0.12075959574173516
55,An Introduction to Temporal Graphs: An Algorithmic Perspective,Graph-Graphs,3000,2015,2,1503.00278v1,-0.34501205123899364,-0.1589208392798308
56,Success factors for Crowdfunding founders and funders,Systems-Information,3000,2015,3,1503.00288v1,-0.0663222807917827,-0.1305680010783116
57,A Sampling Technique of Proving Lower Bounds for Noisy Computations,Systems-Information,3000,2015,3,1503.00321v1,-0.18789365937108538,-0.01898789265951303
58,NEXP-completeness and Universal Hardness Results for Justification Logic,Problem-Algorithm,3000,2015,18,1503.00362v1,-0.20241878323649853,-0.07528892051176696
59,Phylogenetic incongruence through the lens of Monadic Second Order logic,Graph-Graphs,3000,2015,2,1503.00368v1,-0.2689724091043653,-0.13041152024073546
60,A Simple Spectral Algorithm for Recovering Planted Partitions,Problem-Algorithm,3000,2015,18,1503.00423v4,-0.40132213128633754,-0.09598420856643884
61,Robotic Wireless Networks in a Narrow Alley: A Game Theoretic Approach,Communication-Networks,3000,2015,17,1503.00435v1,-0.14202865063331838,0.023199340855941202
62,Random Serial Dictatorship versus Probabilistic Serial Rule: A Tale of Two Random Mechanisms,Problem-Algorithm,3000,2015,18,1503.01488v1,-0.15354064521975988,-0.08472898127213589
63,"Adaptively Secure Coin-Flipping, Revisited",Model-Models,3000,2015,6,1503.01588v2,-0.09149748833310069,-0.03728785878090586
64,Computing with Tangles,Graph-Graphs,3000,2015,2,1503.00190v3,-0.2540985199968393,-0.1425146922448112
65,Emerging Methods and Tools for Sparking New Global Creative Networks,Networks-Neural,3000,2015,0,1503.00197v1,-0.02037527452381078,0.08212284229311308
66,"Simulating Auxiliary Inputs, Revisited",Problem-Algorithm,3000,2015,18,1503.00484v3,-0.3007962591136861,-0.12503292809732164
67,Robustly Leveraging Prior Knowledge in Text Classification,Task-Tasks,3000,2015,15,1503.00841v1,0.06221379750010428,-0.049820336334976525
68,Efficient FFT mapping on GPU for radar processing application: modeling and implementation,Text-Datasets,3000,2015,5,1505.08067v1,-0.10578417755818624,-0.08771273067415594
69,Transition-Based Dependency Parsing with Stack Long Short-Term Memory,Networks-Neural,3000,2015,0,1505.08075v1,0.022754708771998682,0.21538218533285405
70,Video (GIF) Sentiment Analysis using Large-Scale Mid-Level Ontology,Visual-Video,3000,2015,16,1506.00765v1,-0.012040562231281153,0.0010400297907553703
71,Soft Computing Techniques for Change Detection in remotely sensed images : A Review,Detection-Based,3000,2015,1,1506.00768v2,-0.01635539358767766,0.0987250359200837
72,Communication Efficient Secret Sharing,Communication-Networks,3000,2015,17,1505.07515v2,-0.2043402849958768,-0.1336408203238459
73,Emotional Dynamics in the Age of Misinformation,User-Users,3000,2015,13,1505.08001v1,-0.12780474570859207,-0.14282512641611542
74,The Research and Optimization of Parallel Finite Element Algorithm based on MiniFE,Problem-Algorithm,3000,2015,18,1505.08023v1,-0.13648654981541966,-0.031893930442453367
75,Discovering Valuable Items from Massive Data,Task-Tasks,3000,2015,15,1506.00935v1,-0.11267869353850532,-0.08020965946676206
76,Can network coding bridge the digital divide in the Pacific?,Networks-Neural,3000,2015,0,1506.01048v1,-0.1075201042349011,0.07278785493245377
77,Quizz: Targeted crowdsourcing with a billion (potential) users,User-Users,3000,2015,13,1506.01062v1,-0.11610588574654244,-0.16325488868347862
78,Formal Concept Analysis for Knowledge Discovery from Biological Data,Data-Model,3000,2015,8,1506.00366v1,0.1165325672421711,-0.04974831266456614
