Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Lat,Lon
Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,PH15 2EB,56.6276,-3.8479
Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,AB38 9PJ,57.4679,-3.2299
AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,AB5 5LI,57.6583,-3.0823
Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,PA42 7EB,55.6403,-6.1102
Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,AB54 4NH,57.3517,-2.7479
ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,55.6625,-5.2726
Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,55.9308,-4.4489
Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,AB55 3XS,57.5422,-3.0476
Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,AB55 3QY,57.5422,-3.0476
Balblair,2,3,2,1,0,0,2,0,2,1,2,1,IV19 1LB,57.8445,-4.1837
Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,PH26 3PF,57.2537,-3.6589
Balvenie,3,2,1,0,0,3,2,1,0,2,2,2,AB55 4DH,57.4537,-3.1412
BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,PH33 6TJ,56.8187,-5.0972
Benriach,2,2,1,0,0,2,2,0,0,2,3,2,IV30 8SJ,57.5975,-3.1845
Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,AB38 9NN,57.4424,-3.2405
Benromach,2,2,2,0,0,2,2,1,2,2,2,2,IV36 3EB,57.5891,-3.3187
Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,DG8 9AB,54.8913,-4.5722
BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,PH16 5LY,56.7659,-3.7485
Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,PA43 7GS,55.7567,-6.2882
Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,55.7665,-6.3578
Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,55.8756,-6.1324
CaolIla,3,1,4,2,1,0,2,0,2,1,1,1,PA46 7RL,55.8464,-6.1137
Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,AB38 7RY,57.4289,-3.3012
Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,KW9 6LB,58.0134,-3.8923
Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,AB38 9ST,57.4686,-3.2734
Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB37 9AB,57.3989,-3.3589
Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,AB38 7RE,57.4567,-3.2378
Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,IV17 0UT,57.6923,-4.3245
Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,PH19 1AB,56.9334,-4.2489
Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK16 6AG,56.1723,-4.0234
Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB55 4BR,57.4489,-3.1378
Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH16 5JP,56.6745,-3.5878
GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,AB4 3JT,57.6678,-2.4956
