product,year,avg_price
Bread,2000,0.76
Bread,2001,0.77
Bread,2002,0.83
Bread,2003,0.86
Bread,2004,0.81
Bread,2005,0.81
Bread,2006,0.82
Bread,2007,0.86
Bread,2008,0.91
Bread,2009,0.96
Bread,2010,0.94
Bread,2011,1.03
Bread,2012,1.05
Bread,2013,1.04
Bread,2014,1.04
Bread,2015,1.04
Bread,2016,1.03
Bread,2017,0.97
Bread,2018,0.95
Bread,2019,0.99
Bread,2020,0.92
Bread,2021,0.93
Bread,2022,1.11
Bread,2023,1.19
Bread,2024,1.24
Bread,2025,1.24
Chicken,2000,3.0
Chicken,2001,3.31
Chicken,2002,3.39
Chicken,2003,4.89
Chicken,2004,5.3
Chicken,2005,5.13
Chicken,2006,5.22
Chicken,2007,5.38
Chicken,2008,5.97
Chicken,2009,6.07
Chicken,2010,6.11
Chicken,2011,6.42
Chicken,2012,6.48
Chicken,2013,6.65
Chicken,2014,6.72
Chicken,2015,6.54
Chicken,2016,6.1
Chicken,2017,5.91
Chicken,2018,5.77
Chicken,2019,5.64
Chicken,2020,5.67
Chicken,2021,5.67
Chicken,2022,6.29
Chicken,2023,6.91
Chicken,2024,7.0
Chicken,2025,7.36
Eggs,2000,1.61
Eggs,2001,1.68
Eggs,2002,1.64
Eggs,2003,1.68
Eggs,2004,1.68
Eggs,2005,1.71
Eggs,2006,1.78
Eggs,2007,2.14
Eggs,2008,2.73
Eggs,2009,2.92
Eggs,2010,3.0
Eggs,2011,3.02
Eggs,2012,2.98
Eggs,2013,2.96
Eggs,2014,2.85
Eggs,2015,2.61
Eggs,2016,2.38
Eggs,2017,2.36
Eggs,2018,2.29
Eggs,2019,2.21
Eggs,2020,2.23
Eggs,2021,2.2
Eggs,2022,2.83
Eggs,2023,3.83
Eggs,2024,3.89
Eggs,2025,4.05
Milk,2000,0.53
Milk,2001,0.56
Milk,2002,0.74
Milk,2003,0.87
Milk,2004,0.89
Milk,2005,0.93
Milk,2006,0.94
Milk,2007,1.03
Milk,2008,1.18
Milk,2009,1.25
Milk,2010,1.22
Milk,2011,1.18
Milk,2012,1.09
Milk,2013,1.15
Milk,2014,1.09
Milk,2015,1.01
Milk,2016,1.01
Milk,2017,1.15
Milk,2018,1.18
Milk,2019,1.19
Milk,2020,1.19
Milk,2021,1.21
Milk,2022,1.42
Milk,2023,1.61
Milk,2024,1.57
Milk,2025,1.62
Other,2000,0.64
Other,2001,0.65
Other,2002,0.68
Other,2003,0.66
Other,2004,0.8
Other,2005,0.83
Other,2006,0.88
Other,2007,0.97
Other,2008,1.14
Other,2009,1.16
Other,2010,1.15
Other,2011,1.27
Other,2012,1.34
Other,2013,1.4
Other,2014,1.37
Other,2015,1.24
Other,2016,1.21
Other,2017,1.21
Other,2018,1.23
Other,2019,1.27
Other,2020,1.24
Other,2021,1.27
Other,2022,1.43
Other,2023,1.63
Other,2024,1.68
Other,2025,1.78
Rice,2000,0.68
Rice,2001,0.65
Rice,2002,0.65
Rice,2003,1.08
Rice,2004,1.03
Rice,2005,0.95
Rice,2006,1.0
Rice,2007,1.08
Rice,2008,1.45
Rice,2009,1.58
Rice,2010,1.58
Rice,2011,1.55
Rice,2012,1.6
Rice,2013,1.64
Rice,2014,1.66
Rice,2015,1.64
Rice,2016,1.32
Rice,2017,1.26
Rice,2018,1.25
Rice,2019,1.26
Rice,2020,1.27
Rice,2021,1.25
Rice,2022,1.3
Rice,2023,1.4
Rice,2024,1.38
Rice,2025,1.44
