product,year,month,avg_price
Bread,2000,January,0.76
Bread,2000,February,0.77
Bread,2000,March,0.77
Bread,2000,April,0.77
Bread,2000,May,0.75
Bread,2000,June,0.75
Bread,2000,July,0.73
Bread,2000,August,0.76
Bread,2000,September,0.73
Bread,2000,October,0.76
Bread,2000,November,0.78
Bread,2000,December,0.78
Bread,2001,January,0.79
Bread,2001,February,0.78
Bread,2001,March,0.77
Bread,2001,April,0.76
Bread,2001,May,0.77
Bread,2001,June,0.75
Bread,2001,July,0.71
Bread,2001,August,0.77
Bread,2001,September,0.78
Bread,2001,October,0.79
Bread,2001,November,0.8
Bread,2001,December,0.8
Bread,2002,January,0.81
Bread,2002,February,0.83
Bread,2002,March,0.82
Bread,2002,April,0.82
Bread,2002,May,0.83
Bread,2002,June,0.83
Bread,2002,July,0.84
Bread,2002,August,0.82
Bread,2002,September,0.83
Bread,2002,October,0.82
Bread,2002,November,0.82
Bread,2002,December,0.83
Bread,2003,January,0.83
Bread,2003,February,0.84
Bread,2003,March,0.85
Bread,2003,April,0.88
Bread,2003,May,0.87
Bread,2003,June,0.88
Bread,2003,July,0.79
Bread,2003,August,0.87
Bread,2003,September,0.88
Bread,2003,October,0.87
Bread,2003,November,0.87
Bread,2003,December,0.86
Bread,2004,January,0.8
Bread,2004,February,0.8
Bread,2004,March,0.81
Bread,2004,April,0.81
Bread,2004,May,0.82
Bread,2004,June,0.81
Bread,2004,July,0.81
Bread,2004,August,0.83
Bread,2004,September,0.81
Bread,2004,October,0.81
Bread,2004,November,0.82
Bread,2004,December,0.81
Bread,2005,January,0.8
Bread,2005,February,0.84
Bread,2005,March,0.84
Bread,2005,April,0.83
Bread,2005,May,0.73
Bread,2005,June,0.82
Bread,2005,July,0.79
Bread,2005,August,0.81
Bread,2005,September,0.82
Bread,2005,October,0.82
Bread,2005,November,0.82
Bread,2005,December,0.82
Bread,2006,January,0.82
Bread,2006,February,0.83
Bread,2006,March,0.81
Bread,2006,April,0.84
Bread,2006,May,0.82
Bread,2006,June,0.82
Bread,2006,July,0.85
Bread,2006,August,0.82
Bread,2006,September,0.81
Bread,2006,October,0.8
Bread,2006,November,0.82
Bread,2006,December,0.83
Bread,2007,January,0.83
Bread,2007,February,0.82
Bread,2007,March,0.85
Bread,2007,April,0.84
Bread,2007,May,0.84
Bread,2007,June,0.85
Bread,2007,July,0.84
Bread,2007,August,0.85
Bread,2007,September,0.87
Bread,2007,October,0.89
Bread,2007,November,0.91
Bread,2007,December,0.91
Bread,2008,January,0.91
Bread,2008,February,0.9
Bread,2008,March,0.89
Bread,2008,April,0.89
Bread,2008,May,0.91
Bread,2008,June,0.9
Bread,2008,July,0.91
Bread,2008,August,0.93
Bread,2008,September,0.9
Bread,2008,October,0.93
Bread,2008,November,0.94
Bread,2008,December,0.95
Bread,2009,January,0.92
Bread,2009,February,0.96
Bread,2009,March,0.97
Bread,2009,April,0.96
Bread,2009,May,0.97
Bread,2009,June,0.99
Bread,2009,July,0.97
Bread,2009,August,0.96
Bread,2009,September,0.97
Bread,2009,October,0.94
Bread,2009,November,0.95
Bread,2009,December,0.95
Bread,2010,January,0.92
Bread,2010,February,0.89
Bread,2010,March,0.92
Bread,2010,April,0.92
Bread,2010,May,0.95
Bread,2010,June,0.94
Bread,2010,July,0.92
Bread,2010,August,0.95
Bread,2010,September,0.95
Bread,2010,October,0.96
Bread,2010,November,0.96
Bread,2010,December,0.98
Bread,2011,January,0.97
Bread,2011,February,1.0
Bread,2011,March,1.01
Bread,2011,April,1.0
Bread,2011,May,1.01
Bread,2011,June,1.03
Bread,2011,July,1.04
Bread,2011,August,1.05
Bread,2011,September,1.03
Bread,2011,October,1.04
Bread,2011,November,1.06
Bread,2011,December,1.06
Bread,2012,January,1.01
Bread,2012,February,1.02
Bread,2012,March,1.06
Bread,2012,April,1.04
Bread,2012,May,1.03
Bread,2012,June,1.04
Bread,2012,July,1.05
Bread,2012,August,1.05
Bread,2012,September,1.06
Bread,2012,October,1.05
Bread,2012,November,1.08
Bread,2012,December,1.08
Bread,2013,January,1.07
Bread,2013,February,1.02
Bread,2013,March,1.01
Bread,2013,April,1.04
Bread,2013,May,1.04
Bread,2013,June,1.03
Bread,2013,July,1.02
Bread,2013,August,1.04
Bread,2013,September,1.05
Bread,2013,October,1.07
Bread,2013,November,1.04
Bread,2013,December,1.04
Bread,2014,January,1.05
Bread,2014,February,1.02
Bread,2014,March,1.05
Bread,2014,April,1.04
Bread,2014,May,1.02
Bread,2014,June,1.06
Bread,2014,July,1.07
Bread,2014,August,1.04
Bread,2014,September,1.05
Bread,2014,October,1.03
Bread,2014,November,1.03
Bread,2014,December,1.06
Bread,2015,January,1.04
Bread,2015,February,1.03
Bread,2015,March,1.05
Bread,2015,April,1.08
Bread,2015,May,1.06
Bread,2015,June,1.04
Bread,2015,July,1.03
Bread,2015,August,1.04
Bread,2015,September,1.04
Bread,2015,October,1.02
Bread,2015,November,1.03
Bread,2015,December,1.03
Bread,2016,January,1.03
Bread,2016,February,1.05
Bread,2016,March,1.04
Bread,2016,April,1.03
Bread,2016,May,1.01
Bread,2016,June,1.02
Bread,2016,July,1.02
Bread,2016,August,1.04
Bread,2016,September,1.04
Bread,2016,October,1.03
Bread,2016,November,1.02
Bread,2016,December,1.03
Bread,2017,January,1.02
Bread,2017,February,0.96
Bread,2017,March,0.95
Bread,2017,April,0.95
Bread,2017,May,0.95
Bread,2017,June,0.94
Bread,2017,July,0.97
Bread,2017,August,0.97
Bread,2017,September,0.99
Bread,2017,October,0.95
